"geneID"	"LogFC"
"SLC2A12"	0.3
"SPIDR"	0.3
"STK25"	0.3
"TMEM185B"	0.3
"TMEM189"	0.3
"TMEM39A"	0.3
"TMPPE"	0.3
"TPM1"	0.3
"UBXN11"	0.3
"VCL"	0.3
"VNN2"	0.3
"WDR3"	0.3
"XPO7"	0.3
"ZBED5"	0.3
"ZBTB17"	0.3
"ZGPAT"	0.3
"ZNF134"	0.3
"ZNF572"	0.3
"ZNF69"	0.3
"ZNF706"	0.3
"ZSCAN20"	0.3
"ZSWIM7"	0.3
"ABL2"	0.29
"ACVR2A"	0.29
"ADAM3A"	0.29
"AGTRAP"	0.29
"AKR1B10"	0.29
"AMOTL2"	0.29
"ANKRD20A4"	0.29
"AP000347.4"	0.29
"ARAF"	0.29
"ATF7"	0.29
"BFAR"	0.29
"BPNT1"	0.29
"BRAF"	0.29
"CAMKK2"	0.29
"CBLN2"	0.29
"CCDC112"	0.29
"CHIT1"	0.29
"CNKSR3"	0.29
"CPSF3L"	0.29
"DDX59"	0.29
"DHX34"	0.29
"ENDOV"	0.29
"EXT1"	0.29
"FAM189B"	0.29
"FANCC"	0.29
"FTH1P16"	0.29
"GALK1"	0.29
"GAPDH"	0.29
"GLRX2"	0.29
"GNAI1"	0.29
"GPR84"	0.29
"GTF2H2B"	0.29
"H2AFX"	0.29
"HAPLN4"	0.29
"HEXB"	0.29
"HGS"	0.29
"HIST2H3PS2"	0.29
"HNRNPM"	0.29
"IGFBP6"	0.29
"INHBA"	0.29
"IQSEC2"	0.29
"ISCU"	0.29
"KLF14"	0.29
"LCA5L"	0.29
"LINC01125"	0.29
"LINC01420"	0.29
"LITAF"	0.29
"MAMDC4"	0.29
"MAP2K6"	0.29
"ME2"	0.29
"MED28"	0.29
"MGMT"	0.29
"MTG1"	0.29
"NAV2"	0.29
"NFIL3"	0.29
"NOSIP"	0.29
"NPAS3"	0.29
"NPTX2"	0.29
"NR2E3"	0.29
"NUS1"	0.29
"OAZ1"	0.29
"OLAH"	0.29
"OR10V3P"	0.29
"PAQR3"	0.29
"PAX9"	0.29
"PILRB"	0.29
"PLD3"	0.29
"PNMA1"	0.29
"POLE4"	0.29
"PRKCH"	0.29
"PROSER2"	0.29
"PYCR1"	0.29
"RAD54L"	0.29
"RARRES2P2"	0.29
"RITA1"	0.29
"RNA5SP385"	0.29
"RNLS"	0.29
"RP11-440D17.5"	0.29
"RP11-55J15.2"	0.29
"RP11-80H18.3"	0.29
"RP13-104F24.1"	0.29
"RPL21P28"	0.29
"RPS6KB2"	0.29
"RPUSD1"	0.29
"RUFY1"	0.29
"RUNDC3B"	0.29
"RUSC1"	0.29
"SAMD9"	0.29
"SEMA6B"	0.29
"SGSM1"	0.29
"SLC27A3"	0.29
"SLC39A13"	0.29
"SLC7A1"	0.29
"SMAP1"	0.29
"SMG8"	0.29
"SMURF2P1"	0.29
"SRXN1"	0.29
"SSBP2"	0.29
"TNNC2"	0.29
"TREH"	0.29
"TTLL1"	0.29
"TUBB"	0.29
"UBQLN4"	0.29
"UHRF2"	0.29
"WDR31"	0.29
"WNK3"	0.29
"ZFP1"	0.29
"ZNF586"	0.29
"AASDH"	0.28
"ABCF3"	0.28
"AC006486.9"	0.28
"AC010886.2"	0.28
"AC073065.3"	0.28
"ACTG1P10"	0.28
"ALDH1A3"	0.28
"AMPD2"	0.28
"ASS1P2"	0.28
"ASXL2"	0.28
"ATP2B1"	0.28
"BCHE"	0.28
"BORCS6"	0.28
"C16orf91"	0.28
"C1GALT1C1"	0.28
"CBX3P2"	0.28
"CCRL2"	0.28
"CDA"	0.28
"CDT1"	0.28
"CIDEC"	0.28
"COPS7A"	0.28
"CUL9"	0.28
"CYP8B1"	0.28
"DBF4B"	0.28
"E2F7"	0.28
"EED"	0.28
"EMC1"	0.28
"EML4"	0.28
"ERI3"	0.28
"ETV5"	0.28
"EVI2B"	0.28
"EXO5"	0.28
"FAM178B"	0.28
"FAM21A"	0.28
"FKBP11"	0.28
"FTO"	0.28
"GAL3ST1"	0.28
"GFPT1"	0.28
"GMPR2"	0.28
"GNS"	0.28
"GOLGA8A"	0.28
"GOPC"	0.28
"GPATCH11"	0.28
"GPC5"	0.28
"GSTM4"	0.28
"GTF2I"	0.28
"HDAC6"	0.28
"HIF1AN"	0.28
"HK1"	0.28
"HMSD"	0.28
"KRI1"	0.28
"LAT"	0.28
"LGSN"	0.28
"LONRF2"	0.28
"LRSAM1"	0.28
"LSG1"	0.28
"LXN"	0.28
"MAN1C1"	0.28
"MAPRE2"	0.28
"MATN4"	0.28
"MCRIP2"	0.28
"MECR"	0.28
"MYH13"	0.28
"MYH9"	0.28
"NLRC4"	0.28
"NMNAT1"	0.28
"NPM3"	0.28
"PAK1"	0.28
"PCOLCE2"	0.28
"PIAS3"	0.28
"PIP4K2B"	0.28
"PITX2"	0.28
"PLXDC2"	0.28
"PMFBP1"	0.28
"PPIL1"	0.28
"PRDM5"	0.28
"RAP2A"	0.28
"RASA4B"	0.28
"REXO1L1P"	0.28
"RP11-100G15.7"	0.28
"RP11-104G3.2"	0.28
"RP11-134G8.6"	0.28
"RP11-320L11.2"	0.28
"RP11-64K7.1"	0.28
"RP11-694I15.7"	0.28
"RPL23AP53"	0.28
"RPL26"	0.28
"RPS21P4"	0.28
"RYBP"	0.28
"SAYSD1"	0.28
"SCAF8"	0.28
"SCAMP1"	0.28
"SCARB2"	0.28
"SEMA4D"	0.28
"SLC17A7"	0.28
"SLC20A1"	0.28
"SLC25A28"	0.28
"SLC25A43"	0.28
"SLC35C2"	0.28
"SLC39A3"	0.28
"SNUPN"	0.28
"SNX7"	0.28
"SPATA6L"	0.28
"SPRYD4"	0.28
"SRPRA"	0.28
"STK24"	0.28
"SUCLG2"	0.28
"TBC1D22A"	0.28
"TBC1D32"	0.28
"TBCE"	0.28
"TMEM200B"	0.28
"TMEM251"	0.28
"TRAPPC2B"	0.28
"TROVE2"	0.28
"VMA21"	0.28
"WFIKKN1"	0.28
"ZCCHC7"	0.28
"ZFYVE28"	0.28
"ZNF383"	0.28
"ZNF500"	0.28
"ABCA8"	0.27
"ABHD17C"	0.27
"ADAP2"	0.27
"AFAP1L2"	0.27
"AGPAT4"	0.27
"AHSA1"	0.27
"AKNAD1"	0.27
"AKR1A1"	0.27
"ALS2"	0.27
"ANAPC16"	0.27
"ANKS3"	0.27
"APEX2"	0.27
"ARF1"	0.27
"ARHGAP17"	0.27
"ASF1A"	0.27
"BIN2"	0.27
"BLOC1S1"	0.27
"C15orf62"	0.27
"C1orf74"	0.27
"C7orf50"	0.27
"CALD1"	0.27
"CALR"	0.27
"CAPN10"	0.27
"CC2D2A"	0.27
"CCDC124"	0.27
"CCNL2"	0.27
"CDC73"	0.27
"CDIP1"	0.27
"CDK16"	0.27
"CFL1"	0.27
"CHD5"	0.27
"CHIC1"	0.27
"CNTD2"	0.27
"COPG2"	0.27
"CPNE1"	0.27
"CRELD2"	0.27
"CRHR1-IT1"	0.27
"CTD-2012J19.2"	0.27
"CTD-2369P2.12"	0.27
"DENND6B"	0.27
"DGCR2"	0.27
"DGCR8"	0.27
"DLGAP4"	0.27
"EMP3"	0.27
"FARS2"	0.27
"FLT3LG"	0.27
"FOXB1"	0.27
"FRMPD3"	0.27
"FTH1P11"	0.27
"G3BP2"	0.27
"GAPDHP2"	0.27
"GEMIN4"	0.27
"GGN"	0.27
"GMNC"	0.27
"GOLGA6L10"	0.27
"GP1BB"	0.27
"GS1-279B7.1"	0.27
"HIST1H4K"	0.27
"HMGB1P14"	0.27
"HOXA1"	0.27
"HSFX1"	0.27
"IL17RE"	0.27
"INO80B"	0.27
"ITGB1BP2"	0.27
"ITSN1"	0.27
"KCNAB3"	0.27
"KIF9"	0.27
"KLF16"	0.27
"LDHAL6A"	0.27
"LMO4"	0.27
"LRWD1"	0.27
"MAP3K12"	0.27
"MAPK3"	0.27
"MARCH4"	0.27
"MELTF"	0.27
"MEP1B"	0.27
"MMAB"	0.27
"MRPL10"	0.27
"MRPS35"	0.27
"MYDGF"	0.27
"NAT2"	0.27
"NCKAP5L"	0.27
"NDOR1"	0.27
"NDUFS1"	0.27
"NELFE"	0.27
"NFIC"	0.27
"NPAS1"	0.27
"NUP210L"	0.27
"NXPE3"	0.27
"PAF1"	0.27
"PALMD"	0.27
"PARVG"	0.27
"PAXIP1"	0.27
"PCDHB3"	0.27
"PDCD2L"	0.27
"PHLDB2"	0.27
"PHLPP2"	0.27
"PITPNA"	0.27
"PLXND1"	0.27
"PPA1"	0.27
"PPP1R14BP3"	0.27
"PPP2R1A"	0.27
"PPY"	0.27
"PRDM11"	0.27
"PSMB5"	0.27
"PTBP1"	0.27
"PTK6"	0.27
"PUSL1"	0.27
"RAF1"	0.27
"RBM38"	0.27
"RFX2"	0.27
"RP11-119H12.4"	0.27
"RP11-175B9.2"	0.27
"RP11-728K20.1"	0.27
"RP11-749H20.3"	0.27
"RPL3"	0.27
"RPL37P6"	0.27
"RRAS"	0.27
"SGF29"	0.27
"SKA1"	0.27
"SLC16A6"	0.27
"SLC2A11"	0.27
"SLC30A5"	0.27
"SMAD3"	0.27
"SOD2"	0.27
"SPIN3"	0.27
"STK17B"	0.27
"TEN1"	0.27
"TIMM17B"	0.27
"TMEM150B"	0.27
"TMEM234"	0.27
"TNNT1"	0.27
"TPM3P9"	0.27
"TREX1"	0.27
"TSPAN14"	0.27
"TYMS"	0.27
"UBE2SP1"	0.27
"ULBP1"	0.27
"VPS33A"	0.27
"WDR18"	0.27
"WLS"	0.27
"ZNF132"	0.27
"ZNF230"	0.27
"ZNF256"	0.27
"ZNF354C"	0.27
"ZNF574"	0.27
"ZNF682"	0.27
"ZNF721"	0.27
"ZNF765"	0.27
"ABCC6"	0.26
"AC073415.2"	0.26
"ACLY"	0.26
"ADPRH"	0.26
"AIFM2"	0.26
"ALDOC"	0.26
"ARHGEF40"	0.26
"ARL2BP"	0.26
"ARMCX7P"	0.26
"ASNA1"	0.26
"ATP2A3"	0.26
"BANF1"	0.26
"BLZF1"	0.26
"C10orf128"	0.26
"C1GALT1P1"	0.26
"C9orf43"	0.26
"CALCOCO2"	0.26
"CCDC27"	0.26
"CCDC59"	0.26
"CCDC86"	0.26
"CCL18"	0.26
"CD34"	0.26
"CDK2AP2"	0.26
"CELF5"	0.26
"CMBL"	0.26
"CNBD1"	0.26
"CXorf40B"	0.26
"ECM1"	0.26
"EFCAB13"	0.26
"ENOSF1"	0.26
"FAM118B"	0.26
"FAM167B"	0.26
"FAM229B"	0.26
"FBXW4P1"	0.26
"FCMR"	0.26
"FEZ2"	0.26
"FKBP2"	0.26
"GCLM"	0.26
"GGT7"	0.26
"GNL3LP1"	0.26
"GPR107"	0.26
"GRM8"	0.26
"H3F3C"	0.26
"HDAC10"	0.26
"HMGB1P10"	0.26
"HOXB9"	0.26
"HTR6"	0.26
"HUS1B"	0.26
"IFIT1"	0.26
"IFNGR1"	0.26
"IL15"	0.26
"ITM2B"	0.26
"JMJD6"	0.26
"KDM8"	0.26
"LHFP"	0.26
"LRRC37A5P"	0.26
"LYRM1"	0.26
"LYRM7"	0.26
"MAP9"	0.26
"MAX"	0.26
"MCTS1"	0.26
"MESDC2"	0.26
"MYOM2"	0.26
"NCOA1"	0.26
"NCOA3"	0.26
"NECAP1"	0.26
"NEU1"	0.26
"NF1P10"	0.26
"NFKBIE"	0.26
"NME5"	0.26
"NRCAM"	0.26
"NUBP2"	0.26
"OCLN"	0.26
"OGDH"	0.26
"OR4D1"	0.26
"OR7E7P"	0.26
"PABPC3"	0.26
"PATL1"	0.26
"PHYKPL"	0.26
"POC1B"	0.26
"PPID"	0.26
"PRPSAP1"	0.26
"PXYLP1"	0.26
"RNF111"	0.26
"RP11-274B21.4"	0.26
"RP11-545M17.2"	0.26
"RPL28"	0.26
"RPRD2"	0.26
"SARS"	0.26
"SCAP"	0.26
"SFI1"	0.26
"SIGLEC17P"	0.26
"SLC27A4"	0.26
"SNX13"	0.26
"SPTLC3"	0.26
"SSNA1"	0.26
"ST6GALNAC6"	0.26
"ST8SIA5"	0.26
"TAP1"	0.26
"TEX40"	0.26
"TFB1M"	0.26
"TICRR"	0.26
"TMED9"	0.26
"TMEM167A"	0.26
"TMEM39B"	0.26
"TRIM14"	0.26
"TRIM6-TRIM34"	0.26
"UBAC1"	0.26
"UBE2V1"	0.26
"UPF3AP2"	0.26
"VPS33B"	0.26
"XXbac-BPG111L9.8"	0.26
"ZNF212"	0.26
"ZNF267"	0.26
"AC009299.4"	0.25
"AC018892.3"	0.25
"ACADVL"	0.25
"AFF1"	0.25
"AFG3L1P"	0.25
"ALDH1L1"	0.25
"ANKRD7"	0.25
"AP1G2"	0.25
"AP3S1"	0.25
"APRT"	0.25
"ARFGAP1"	0.25
"ARFRP1"	0.25
"BAG6"	0.25
"BCAM"	0.25
"BPIFB1"	0.25
"BRCA1"	0.25
"C10orf2"	0.25
"C19orf68"	0.25
"CAMK2G"	0.25
"CAST"	0.25
"CCDC150P1"	0.25
"CCR10"	0.25
"CD164"	0.25
"CD7"	0.25
"CDPF1"	0.25
"CHRM1"	0.25
"CIT"	0.25
"CLPTM1"	0.25
"COMTD1"	0.25
"CRMP1"	0.25
"CTC-454I21.3"	0.25
"CTD-2574D22.6"	0.25
"CXorf38"	0.25
"DCAF17"	0.25
"DDX11"	0.25
"DDX50"	0.25
"DECR2"	0.25
"DHODH"	0.25
"DNAJC30"	0.25
"DNPEP"	0.25
"DOLK"	0.25
"EBAG9"	0.25
"EIF4EBP1"	0.25
"ERGIC3"	0.25
"FABP6"	0.25
"FBXO28"	0.25
"FNDC3B"	0.25
"FOXP1"	0.25
"FTH1P21"	0.25
"GAA"	0.25
"GGA2"	0.25
"GNG11"	0.25
"GNL3"	0.25
"GOLGA2P10"	0.25
"GPAT4"	0.25
"GPR176"	0.25
"GPSM1"	0.25
"GTF3A"	0.25
"GTF3C2"	0.25
"GUCA1B"	0.25
"HELZ2"	0.25
"HM13"	0.25
"HOXC10"	0.25
"HOXC8"	0.25
"IL16"	0.25
"IRF2"	0.25
"JOSD1"	0.25
"KAZALD1"	0.25
"KHNYN"	0.25
"KLHL28"	0.25
"LHPP"	0.25
"LILRA6"	0.25
"LIPG"	0.25
"LIX1L"	0.25
"LRBA"	0.25
"LRRC37A17P"	0.25
"LSM2"	0.25
"LTF"	0.25
"MDH2"	0.25
"MIB2"	0.25
"MKRN2"	0.25
"MLF2"	0.25
"MRPL54"	0.25
"MSANTD1"	0.25
"NDUFAF3"	0.25
"NRSN2"	0.25
"NSUN6"	0.25
"NUB1"	0.25
"NUP133"	0.25
"P3H2"	0.25
"PEX13"	0.25
"PFDN4"	0.25
"PGS1"	0.25
"PHKA2"	0.25
"PLCD3"	0.25
"PLD6"	0.25
"PPAN-P2RY11"	0.25
"PPIF"	0.25
"PQBP1"	0.25
"PRIMPOL"	0.25
"PRR13P3"	0.25
"PRRG1"	0.25
"PSMB10"	0.25
"PSMD10"	0.25
"PTRH2"	0.25
"RAB23"	0.25
"RAB40C"	0.25
"RP1-272E8.1"	0.25
"RP11-515E23.1"	0.25
"RP11-686D22.3"	0.25
"RPL12P11"	0.25
"RPL13AP3"	0.25
"RRP9"	0.25
"RUVBL2"	0.25
"SCO2"	0.25
"SCRN1"	0.25
"SDHAF1"	0.25
"SDSL"	0.25
"SH3GL1"	0.25
"SHOX"	0.25
"SLC16A5"	0.25
"SLC19A1"	0.25
"SLC25A18"	0.25
"SLC25A26"	0.25
"SLC31A1"	0.25
"SLC33A1"	0.25
"SMKR1"	0.25
"SRR"	0.25
"STAG3L3"	0.25
"STOM"	0.25
"TAF6"	0.25
"TBC1D10A"	0.25
"TPP1"	0.25
"TRIM2"	0.25
"TRMT61A"	0.25
"TRMU"	0.25
"TTN"	0.25
"TUBGCP2"	0.25
"URGCP"	0.25
"USP36"	0.25
"UXS1"	0.25
"VPS13D"	0.25
"WASH4P"	0.25
"XKR8"	0.25
"XXYLT1"	0.25
"ZBTB7B"	0.25
"ZC3H15"	0.25
"ZNF202"	0.25
"ZNF560"	0.25
"ZNF587B"	0.25
"ZNF697"	0.25
"ABCD4"	0.24
"ABCF2"	0.24
"AC018735.1"	0.24
"ACTB"	0.24
"ADH5"	0.24
"AKR7L"	0.24
"ANXA5"	0.24
"AP1G1"	0.24
"AP2S1"	0.24
"ARHGAP42P5"	0.24
"ARIH2"	0.24
"ATP2B2"	0.24
"ATP5A1"	0.24
"BCL2L1"	0.24
"BEND6"	0.24
"C1orf54"	0.24
"C20orf196"	0.24
"CARD10"	0.24
"CCL22"	0.24
"CD151"	0.24
"CD68"	0.24
"CDIPT"	0.24
"CHCHD2P6"	0.24
"CHMP3"	0.24
"CHODL"	0.24
"CHRM2"	0.24
"CLEC11A"	0.24
"CLOCK"	0.24
"CNEP1R1"	0.24
"CNRIP1"	0.24
"COL17A1"	0.24
"COMMD5"	0.24
"CSF1R"	0.24
"CSNK1G2"	0.24
"CTNND1"	0.24
"DAPK1"	0.24
"DBI"	0.24
"DCTN6"	0.24
"DENND5B"	0.24
"DHRS4L2"	0.24
"DKC1"	0.24
"DLST"	0.24
"DPCD"	0.24
"FAHD2A"	0.24
"FAM168A"	0.24
"FAM193B"	0.24
"FAM57B"	0.24
"FANCF"	0.24
"FKBP6"	0.24
"FXYD5"	0.24
"GALNT9"	0.24
"GAPDHP65"	0.24
"GDPD1"	0.24
"GNPTG"	0.24
"HGH1"	0.24
"HIST2H3D"	0.24
"HSD11B1L"	0.24
"ITGA6"	0.24
"KCNIP4"	0.24
"KDM6A"	0.24
"KITLG"	0.24
"KLHL35"	0.24
"KRT17P6"	0.24
"KRTAP2-1"	0.24
"LBHD1"	0.24
"LIN7C"	0.24
"LMAN2L"	0.24
"MAP2K7"	0.24
"MAPK1IP1L"	0.24
"MAU2"	0.24
"MID1IP1"	0.24
"MIIP"	0.24
"MLLT10P1"	0.24
"MOCS2"	0.24
"MRPL2"	0.24
"MRPL55"	0.24
"MRPS27"	0.24
"MRPS6"	0.24
"NAPA"	0.24
"NCOA5"	0.24
"NDUFB11"	0.24
"NDUFV1"	0.24
"NIPA2"	0.24
"NOA1"	0.24
"NPIPB15"	0.24
"NUTM2E"	0.24
"OGFOD1"	0.24
"OSBPL7"	0.24
"OSTC"	0.24
"PAFAH2"	0.24
"PDK1"	0.24
"PEMT"	0.24
"PFN1"	0.24
"PHYHIPL"	0.24
"PIEZO2"	0.24
"PIGS"	0.24
"PLSCR1"	0.24
"POLR2KP1"	0.24
"PPP2CA"	0.24
"PRDM4"	0.24
"PRORSD1P"	0.24
"PRPF19"	0.24
"PTCHD4"	0.24
"RERG"	0.24
"RFX5"	0.24
"RGS17"	0.24
"RHBDD2"	0.24
"RHBDL2"	0.24
"RNASEK"	0.24
"RP11-146N23.1"	0.24
"RP11-14D22.2"	0.24
"RP11-15J10.8"	0.24
"RP11-368J21.3"	0.24
"RP11-77H9.2"	0.24
"RP11-81A22.5"	0.24
"RP11-89K11.1"	0.24
"RP13-198D9.4"	0.24
"RP4-576H24.4"	0.24
"RPL21P120"	0.24
"SH2B1"	0.24
"SLC16A3"	0.24
"SLC1A2"	0.24
"SLC22A18"	0.24
"SLC24A1"	0.24
"SLC25A22"	0.24
"SLC37A2"	0.24
"SLC44A3"	0.24
"SMAD5"	0.24
"SPAG7"	0.24
"SPIN4"	0.24
"SPTLC1"	0.24
"SSH1"	0.24
"STAP2"	0.24
"STBD1"	0.24
"SYT13"	0.24
"SYTL2"	0.24
"TBCAP3"	0.24
"TCP11L2"	0.24
"TEDDM1"	0.24
"TEX12"	0.24
"THAP3"	0.24
"TMEM217"	0.24
"TOR1A"	0.24
"TSC22D2"	0.24
"TTLL11-IT1"	0.24
"TTLL5"	0.24
"UBA5"	0.24
"UBAC2"	0.24
"USB1"	0.24
"USP26"	0.24
"VPS51"	0.24
"VPS8"	0.24
"WBSCR22"	0.24
"ZBTB21"	0.24
"ZDHHC3"	0.24
"ZMPSTE24"	0.24
"ZNF257"	0.24
"ZNF410"	0.24
"ZNF436"	0.24
"ZNF528"	0.24
"ZNF655"	0.24
"AC002543.2"	0.23
"AC068134.10"	0.23
"ALKBH4"	0.23
"AMACR"	0.23
"ANKMY2"	0.23
"AP3B1"	0.23
"APTX"	0.23
"ASTN2"	0.23
"ASZ1"	0.23
"ATG4A"	0.23
"BCKDK"	0.23
"BYSL"	0.23
"C1orf228"	0.23
"C20orf96"	0.23
"CALM2"	0.23
"CANT1"	0.23
"CAP1"	0.23
"CAPG"	0.23
"CC2D1A"	0.23
"CCL15"	0.23
"CENPBD1P1"	0.23
"CLIC1"	0.23
"CLN8"	0.23
"CMB9-22P13.1"	0.23
"COL20A1"	0.23
"COX5A"	0.23
"CYHR1"	0.23
"DAW1"	0.23
"DCLRE1A"	0.23
"DCUN1D3"	0.23
"DFNB59"	0.23
"DPYD"	0.23
"DYRK1B"	0.23
"E2F1"	0.23
"ECSIT"	0.23
"EEPD1"	0.23
"EIF4A1"	0.23
"EMD"	0.23
"ERCC1"	0.23
"EVI5L"	0.23
"FABP3"	0.23
"FAM3C2"	0.23
"FAM98A"	0.23
"FARSA"	0.23
"FBXO15"	0.23
"FCF1"	0.23
"FHAD1"	0.23
"GIGYF2"	0.23
"GIMAP5"	0.23
"GNPTAB"	0.23
"GPAA1"	0.23
"GSPT2"	0.23
"HEATR5B"	0.23
"HMGN2P36"	0.23
"IFT57"	0.23
"IGSF9B"	0.23
"KIAA0040"	0.23
"KLF13"	0.23
"LARS2"	0.23
"LIMS4"	0.23
"LRRC59"	0.23
"LTB4R"	0.23
"LVRN"	0.23
"MAN1A1"	0.23
"MAN2A1"	0.23
"MRPS17P1"	0.23
"NOL3"	0.23
"NOM1"	0.23
"NRXN3"	0.23
"OSBPL3"	0.23
"PBLD"	0.23
"PCDHGB8P"	0.23
"PCTP"	0.23
"PHBP19"	0.23
"PNMAL1"	0.23
"PPP5C"	0.23
"PREP"	0.23
"PREPL"	0.23
"PRPF38A"	0.23
"PSMD10P2"	0.23
"PTGER4"	0.23
"RAB18"	0.23
"RIN1"	0.23
"RNA5SP477"	0.23
"RNF212B"	0.23
"RP11-118F2.2"	0.23
"RP11-152C15.1"	0.23
"RP11-427P5.3"	0.23
"RP11-432B6.1"	0.23
"RP11-571F15.2"	0.23
"RP11-79L9.2"	0.23
"RP11-87N3.6"	0.23
"RP5-1099D15.1"	0.23
"RPL12P25"	0.23
"RPN2"	0.23
"RSPH4A"	0.23
"SF3A2"	0.23
"SFXN3"	0.23
"SGK2"	0.23
"SLC25A17"	0.23
"SLC35F4"	0.23
"SMARCB1"	0.23
"SMC4"	0.23
"SOAT1"	0.23
"SOGA1"	0.23
"SSH3"	0.23
"ST5"	0.23
"STX4"	0.23
"TARS2"	0.23
"TBC1D1"	0.23
"TCP11"	0.23
"TESK2"	0.23
"TEX15"	0.23
"TMEM115"	0.23
"TMEM192"	0.23
"TMTC1"	0.23
"TOM1"	0.23
"TRABD2A"	0.23
"TRAP1"	0.23
"TRAPPC1"	0.23
"TRAPPC9"	0.23
"TRDMT1"	0.23
"TRIM32"	0.23
"TUBBP1"	0.23
"TUBD1"	0.23
"TUBGCP5"	0.23
"TUSC2"	0.23
"UBA1"	0.23
"UBASH3B"	0.23
"UNC45A"	0.23
"UQCRC1"	0.23
"UTP20"	0.23
"WRAP53"	0.23
"ZCCHC14"	0.23
"ZDHHC2"	0.23
"ZNF492"	0.23
"ZNF787"	0.23
"ZNF791"	0.23
"AAGAB"	0.22
"AC078899.1"	0.22
"ACAT2"	0.22
"ARHGAP12"	0.22
"ARID5A"	0.22
"ATG16L1"	0.22
"ATP5G2P3"	0.22
"B2M"	0.22
"BCS1L"	0.22
"BNIP3P1"	0.22
"BRI3BPP1"	0.22
"C16orf58"	0.22
"C1orf43"	0.22
"C22orf15"	0.22
"CBFA2T3"	0.22
"CCDC178"	0.22
"CD27"	0.22
"CDC37"	0.22
"CDK5RAP1"	0.22
"CDRT15P1"	0.22
"CHP2"	0.22
"CTB-54O9.9"	0.22
"CYP26B1"	0.22
"DEFB131"	0.22
"DIAPH1"	0.22
"DNM1"	0.22
"DRAM1"	0.22
"DSCR3"	0.22
"DSG2"	0.22
"DYM"	0.22
"EEF2"	0.22
"ENO1"	0.22
"FAAP100"	0.22
"FAM50A"	0.22
"FAT1"	0.22
"FGFBP3"	0.22
"FIS1"	0.22
"FOXJ2"	0.22
"FTH1P3"	0.22
"GAPDHP23"	0.22
"GDNF"	0.22
"GGA1"	0.22
"GNLY"	0.22
"GTPBP3"	0.22
"GTPBP4"	0.22
"HCCS"	0.22
"HECTD1"	0.22
"HECTD3"	0.22
"HINT2"	0.22
"HIST1H2BG"	0.22
"HSPA14"	0.22
"HSPA4L"	0.22
"IFIT3"	0.22
"ITGB5"	0.22
"KARS"	0.22
"KARSP1"	0.22
"KDM4A"	0.22
"KIF22"	0.22
"LAMC1"	0.22
"LEO1"	0.22
"LMNA"	0.22
"LNPEP"	0.22
"LRRC4"	0.22
"LYPD6"	0.22
"MALT1"	0.22
"MAN2B1"	0.22
"MCRIP1"	0.22
"METTL10"	0.22
"MMS19"	0.22
"MOV10"	0.22
"MRPS36"	0.22
"MSN"	0.22
"MT-ATP8"	0.22
"MTFP1"	0.22
"MTND1P11"	0.22
"MTND1P23"	0.22
"NCLP1"	0.22
"NKX6-2"	0.22
"NME1"	0.22
"NR1H2"	0.22
"OGDHL"	0.22
"OGG1"	0.22
"OLA1P3"	0.22
"ORMDL2"	0.22
"OVGP1"	0.22
"OXCT1"	0.22
"PCDHA8"	0.22
"PDP1"	0.22
"PHF20"	0.22
"PNMA6B"	0.22
"PNPLA6"	0.22
"POTED"	0.22
"PPP1R11"	0.22
"PTP4A2"	0.22
"PUS7"	0.22
"R3HCC1"	0.22
"RAB40AL"	0.22
"RABEPK"	0.22
"RAD23A"	0.22
"RCC1"	0.22
"REEP2"	0.22
"RNASEH1"	0.22
"RP11-1021N1.1"	0.22
"RP11-114F3.5"	0.22
"RP11-165J3.6"	0.22
"RP11-222K16.1"	0.22
"RP11-44F14.1"	0.22
"RP11-504G3.4"	0.22
"RP11-629N8.3"	0.22
"RP11-641D5.1"	0.22
"RP11-727A23.1"	0.22
"RP4-613B23.5"	0.22
"RP4-740C4.5"	0.22
"RPL23AP74"	0.22
"RRAGC"	0.22
"SDCBPP2"	0.22
"SERP1"	0.22
"SEZ6L2"	0.22
"SGK1"	0.22
"SNX15"	0.22
"SNX18P12"	0.22
"SPATA5L1"	0.22
"STX10"	0.22
"SUMO2P17"	0.22
"SUPT5H"	0.22
"TAS2R50"	0.22
"TBC1D10B"	0.22
"TBC1D2"	0.22
"TBC1D8"	0.22
"TLE6"	0.22
"TMEM179B"	0.22
"TMEM219"	0.22
"TMEM256-PLSCR3"	0.22
"TPI1P1"	0.22
"TRAPPC6B"	0.22
"TTBK1"	0.22
"UBE2A"	0.22
"UBE2D3P2"	0.22
"UBE2D4"	0.22
"UBE2L3"	0.22
"UIMC1"	0.22
"UTRN"	0.22
"VAMP5"	0.22
"WDR1"	0.22
"WIPI1"	0.22
"WWC1"	0.22
"ZNF57"	0.22
"ZNF595"	0.22
"AARSD1"	0.21
"ABCB9"	0.21
"ABHD16A"	0.21
"AC009133.23"	0.21
"ACSS1"	0.21
"ADAM10"	0.21
"ALAS1"	0.21
"AMDHD1"	0.21
"ANP32B"	0.21
"AP000347.2"	0.21
"ARSG"	0.21
"ASAP3"	0.21
"ATP5B"	0.21
"B3GLCT"	0.21
"BCAR1"	0.21
"BEX3"	0.21
"BIVM"	0.21
"C1orf53"	0.21
"C21orf33"	0.21
"C9orf142"	0.21
"CCDC28B"	0.21
"CCDC77"	0.21
"CCM2"	0.21
"CERS6"	0.21
