"geneID"	"FC_X"	"FC_Y.x"	"LogFC"	"FC_Y.y"
"FAM86B1"	0.37	-0.19	0.85	-0.68
"FBXO15"	0.37	0.16	0.23	-0.09
"FCF1"	0.37	0.21	0.23	0.61
"FTH1P10"	0.37	0.11	1.13	-0.14
"GLIPR2"	0.37	0.67	0.48	0.9
"GOLGA2P5"	0.37	0.37	-0.51	0.09
"GPC5"	0.37	-0.48	0.28	1.39
"GSTA4"	0.37	0.34	-0.24	0.49
"HERC2P3"	0.37	-0.36	-0.27	-0.32
"INGX"	0.37	-0.03	-0.18	0.3
"ISG20L2"	0.37	0.1	0.44	-0.14
"KCMF1"	0.37	0.51	-0.08	-0.25
"KCNN3"	0.37	0.32	1.43	1.53
"KCTD13"	0.37	0.41	0.1	-0.13
"KLF4"	0.37	0.37	-0.02	-0.12
"KLHL42"	0.37	0.4	0.4	0.08
"KRT18P31"	0.37	0.46	-0.07	0.07
"KRT18P55"	0.37	0.94	-0.18	-0.4
"LAMC2"	0.37	0.9	0.3	0.49
"LBX2"	0.37	0.13	0.36	0.18
"LDOC1L"	0.37	0.35	0.67	0.32
"MACC1"	0.37	-0.09	-0.59	0.32
"MCMBP"	0.37	0.01	0.2	-0.45
"MIPEP"	0.37	0.37	0.62	-0.57
"MOSPD2"	0.37	-0.17	-0.85	0.58
"MTERF4"	0.37	0.36	-0.03	0.24
"MTHFR"	0.37	-0.17	0.05	-0.14
"NALCN"	0.37	0.91	0.5	-1.37
"NFE2L1"	0.37	0.15	0.07	0.61
"NMRK1"	0.37	0.24	0.16	0.47
"NXN"	0.37	0.41	0.86	0.47
"OCRL"	0.37	-0.56	-0.09	1.11
"OSBPL7"	0.37	0.03	0.24	0.48
"P3H1"	0.37	0.28	0.55	0.4
"PARK2"	0.37	0.84	-1.39	-0.23
"PCDHA9"	0.37	1.03	-0.77	0.8
"PCNT"	0.37	0.85	0.2	0.03
"PDLIM3"	0.37	0.13	-0.29	0.95
"PEX11A"	0.37	-0.25	0.03	0.34
"PEX2"	0.37	0.38	-0.16	0.87
"PHF1"	0.37	0.29	0.19	-0.19
"PNLIPP1"	0.37	-0.38	-0.26	0.15
"PRPF8"	0.37	-0.03	0.07	0.39
"PSORS1C1"	0.37	0.01	0.73	1.55
"R3HDM1"	0.37	0.23	0.49	0.41
"RMND1"	0.37	-0.11	0.03	0.39
"RP11-270M14.1"	0.37	0.24	-0.27	0.48
"RP11-504P24.3"	0.37	0.26	-0.61	0.1
"RP5-994D16.11"	0.37	-0.39	-0.87	0.47
"SCARF1"	0.37	-0.6	-0.39	1.55
"SLC25A43"	0.37	0.28	0.28	0.42
"SNX15"	0.37	-0.24	0.22	0.61
"SOCS4"	0.37	-0.18	-0.09	1.45
"SPTBN1"	0.37	-0.08	-0.81	1.5
"STK36"	0.37	0.03	0.49	-0.37
"SYT14"	0.37	-0.03	-0.13	1.01
"TAF5L"	0.37	0.28	-0.41	0.15
"TARSL2"	0.37	0.62	-0.43	0.75
"TBC1D22B"	0.37	0.21	0.51	-0.16
"TBL1XR1"	0.37	0.37	0	0.82
"TEAD3"	0.37	0.03	-0.16	0.9
"TESPA1"	0.37	0.08	-0.44	0.04
"TGFB1I1"	0.37	0.38	0.4	1.57
"THNSL2"	0.37	-1.03	-1.25	0.85
"TMEM102"	0.37	0.53	0.06	-0.12
"TMEM132B"	0.37	1.08	-0.05	-0.43
"TNPO1"	0.37	0.47	0.2	0.79
"TRAPPC3L"	0.37	-0.61	-0.21	0.79
"TUBD1"	0.37	0.29	0.23	-0.04
"TUBGCP6"	0.37	-0.09	-0.16	-0.17
"UBA1"	0.37	0.28	0.23	0.55
"UBA6"	0.37	0.21	-0.13	0.49
"USP3"	0.37	0.44	0.15	0.27
"VNN1"	0.37	0.18	-0.37	0.2
"VSIG10"	0.37	-0.23	-0.32	0.4
"WDHD1"	0.37	0.93	-0.22	0.64
"YBX3"	0.37	0.24	-0.13	-0.47
"ZBED3"	0.37	-0.06	-0.27	-0.07
"ZBED6"	0.37	-0.01	-0.1	0.33
"ZBTB8B"	0.37	0.22	-0.92	-0.22
"ZNF25"	0.37	0.18	0.45	-0.05
"ZNF658"	0.37	0.23	-0.23	-0.04
"ZNF852"	0.37	-0.29	0.54	-0.12
"AC037459.4"	0.36	-0.46	2.65	-0.31
"ACTRT3"	0.36	-0.29	0.54	0
"ANLN"	0.36	0.99	0.12	1.6
"ATP13A2"	0.36	0.37	0.38	-0.41
"B4GALNT4"	0.36	-0.01	-0.62	0.73
"CBFA2T3"	0.36	0.14	0.22	0
"CCDC184"	0.36	0.61	0.53	0.78
"CCDC7"	0.36	0.1	-0.18	0.91
"CD302"	0.36	0.09	-0.35	1.63
"CDC73"	0.36	0.61	0.27	0.22
"CELA2B"	0.36	0.36	0	0
"CEP350"	0.36	-0.17	0.43	-0.35
"CMTM3"	0.36	0.48	-0.09	-0.06
"COL5A3"	0.36	0.61	0.64	1.54
"CRABP2"	0.36	-0.4	-0.72	0.74
"CWF19L2"	0.36	0.37	-0.21	0.39
"DCAF7"	0.36	-0.13	0.01	0.32
"DDC"	0.36	0.36	0	0
"EFHC1"	0.36	0.01	-0.16	0.53
"ERMARD"	0.36	0.48	0.03	0.23
"FAM129B"	0.36	0.33	0.2	0.65
"FHL2"	0.36	0.54	0.16	2.62
"GALNS"	0.36	0.49	0.45	0.58
"GLRX5"	0.36	-0.08	-0.14	0.35
"GOLIM4"	0.36	0.17	-0.02	0.58
"GPC6"	0.36	0.09	1.86	-0.87
"GRASP"	0.36	0.74	-0.53	0.76
"HCFC1R1"	0.36	0.36	0.05	1.99
"HOXC10"	0.36	0.15	0.25	0.58
"HOXC13"	0.36	-0.23	-0.31	0.79
"HTT"	0.36	0.48	-0.29	0.35
"IL32"	0.36	1.36	0.02	0.95
"KDM5D"	0.36	-0.07	-0.17	-0.1
"KDM6B"	0.36	-0.09	-0.09	0.55
"KDR"	0.36	0.36	0.92	0
"MAGEA10"	0.36	0.63	0.48	-0.26
"MAGI2"	0.36	-0.48	0.02	1.11
"MARCKS"	0.36	0.52	-0.13	1.41
"MSX2"	0.36	0.39	-0.04	-0.01
"MTIF2"	0.36	0.22	-0.16	0.25
"MTIF3"	0.36	0.12	0.04	0.41
"NCOR1"	0.36	0.22	0.01	0.62
"NDUFA9P1"	0.36	-1.37	-0.43	1.43
"NINL"	0.36	0.31	-0.29	0.24
"NR1H3"	0.36	0.16	0.37	0.58
"PDZPH1P"	0.36	0.36	-0.13	0.13
"PGF"	0.36	-0.01	-0.07	-0.49
"PHYHIPL"	0.36	0.03	0.24	-0.47
"PLOD1"	0.36	0.31	0.39	0.9
"PNMAL1"	0.36	-0.84	0.23	-0.1
"RAB6A"	0.36	0.05	0.07	0.12
"RARRES2P1"	0.36	0.53	-0.14	0.8
"RBBP5"	0.36	0.03	-0.11	0.69
"RBL2"	0.36	0.34	-0.01	0.26
"RC3H1"	0.36	0.25	-0.34	0.78
"RHOH"	0.36	-0.37	0.33	0.11
"RICTOR"	0.36	-0.11	-0.07	0.91
"RP1-223H12.5"	0.36	-0.08	-0.98	0.74
"RP11-116B19.2"	0.36	0.61	0.48	0.55
"RP11-123C21.2"	0.36	0.19	-1.11	0.81
"RP11-146E13.5"	0.36	-0.37	0.69	0
"RP11-156F23.2"	0.36	0.52	0	-0.17
"RP11-295B17.6"	0.36	0.33	0.07	-0.23
"RP11-33B1.1"	0.36	-0.16	0.32	-0.03
"RPS9P1"	0.36	0.32	0.76	-0.13
"RSG1"	0.36	0.65	-0.3	0.2
"SALL4"	0.36	0.66	-0.3	-0.01
"SELT"	0.36	0.34	-0.03	0.54
"SLC39A8"	0.36	0.36	-0.01	-0.54
"SNAI2"	0.36	0.22	-0.36	1.58
"SNX24"	0.36	0.46	-0.21	0.58
"TMEM106B"	0.36	0.04	0.19	0.52
"TP53INP2"	0.36	0.41	-0.49	0.73
"TPI1P2"	0.36	0.58	-0.3	0.66
"TPRN"	0.36	-0.42	-1.23	0.74
"TRAK2"	0.36	0.4	-0.61	0.96
"TRIM56"	0.36	0.16	0.48	0.53
"TRIM60"	0.36	-0.21	-0.61	0.44
"TRMT5"	0.36	0.27	-0.04	-0.31
"TSPYL2"	0.36	0.5	-0.8	-0.94
"TTLL4"	0.36	-0.19	-0.28	-1.07
"TUBBP1"	0.36	0.25	0.23	0.63
"TXNL4B"	0.36	0.27	0.06	0.58
"WDR62"	0.36	-0.33	-0.44	1.34
"ZBTB20"	0.36	-0.29	-0.23	0.58
"ZNF197"	0.36	-0.12	0.12	-0.27
"ZNF223"	0.36	-0.32	-0.03	0.95
"ZNF267"	0.36	0.37	0.26	-0.03
"ZNF433"	0.36	-0.68	-0.78	0.77
"ZNF449"	0.36	-0.12	-0.03	0.05
"AC007325.2"	0.35	-0.6	-0.15	-0.4
"ACAP3"	0.35	0.84	0.12	0.24
"ADHFE1"	0.35	-0.31	-0.66	0.29
"AKT1S1"	0.35	0.43	0.31	0.46
"ALDH1A3"	0.35	0.12	0.28	1.21
"AMD1"	0.35	0.03	0.05	-0.27
"AP2A1"	0.35	0.44	0.15	0.88
"APMAP"	0.35	0.32	0.41	0.37
"AQR"	0.35	0.21	-0.23	0.39
"ARL6IP5"	0.35	0.36	0.19	1.11
"ATG12"	0.35	-0.02	-0.13	0.6
"ATP9A"	0.35	0.16	0.52	-0.82
"C18orf54"	0.35	0.73	-0.14	1.37
"C7orf26"	0.35	0.44	0.15	-0.59
"CCDC117"	0.35	0.22	0.05	0.37
"CD47"	0.35	-0.14	0.19	0.03
"CFAP58"	0.35	0.02	-0.3	1.09
"CGB3"	0.35	0.91	0.09	-0.43
"CHSY1"	0.35	-0.13	0.07	0.3
"CLCA2"	0.35	0.35	1.22	0.4
"CLK2"	0.35	-0.04	0.03	-0.47
"CLMN"	0.35	-0.56	0.33	0.78
"DDX60L"	0.35	-0.5	0.02	0.88
"DNAJC28"	0.35	0.29	0.14	0.32
"DNHD1"	0.35	-0.24	-0.1	0.32
"DOCK1"	0.35	0.18	0.16	1.11
"EEA1"	0.35	0.03	0.38	0.73
"EEF2K"	0.35	0.58	-1.89	0.2
"EIF4EBP3"	0.35	-0.72	-0.98	-0.18
"ELF2"	0.35	0.38	-0.04	-0.06
"EPRS"	0.35	0.05	0.48	-0.06
"EXOSC3"	0.35	0.28	-0.18	0.39
"EYA4"	0.35	0.19	0.16	0.86
"FAM91A1"	0.35	0.2	0.04	0.8
"FSTL1"	0.35	0.07	-0.57	1.31
"GFPT1"	0.35	0.01	0.28	0.1
"GPR182"	0.35	0.48	0	-0.13
"GRIN3B"	0.35	0.35	0.19	0
"GS1-124K5.8"	0.35	-0.15	-0.05	0.53
"GTF2E1"	0.35	0.39	-0.43	0.19
"IGFBP2"	0.35	0.56	1.03	0.45
"IMPDH1"	0.35	0.47	0.36	0.48
"IREB2"	0.35	-0.36	-0.05	0.06
"IRS2"	0.35	0.08	-0.83	0.49
"ITIH2"	0.35	-0.29	0	0
"KB-1980E6.2"	0.35	-0.01	0.64	0.8
"KCTD21"	0.35	0.24	-0.16	0.42
"KIAA0232"	0.35	0.75	-0.42	0.47
"LGALS1"	0.35	0.99	0.06	1.74
"MFAP3"	0.35	0.1	0.16	0.57
"MFN1"	0.35	0.26	-0.39	0.62
"MMP1"	0.35	-1.2	0.51	1.84
"MPC2"	0.35	0.54	0.59	0.03
"MPV17L"	0.35	0.21	-0.42	0.38
"MRAP"	0.35	-0.04	-1.04	0.85
"MS4A10"	0.35	0.41	-0.55	0.69
"MUC20"	0.35	0.28	0.48	-0.4
"MUC5B"	0.35	0.04	0.05	0.25
"MYO15A"	0.35	0.76	-0.73	0.08
"NAGA"	0.35	0.75	0.19	0.57
"NOXA1"	0.35	0.22	0.21	-0.49
"NSF"	0.35	0.28	0.3	1.03
"P2RY10"	0.35	-0.54	-0.27	0.77
"PC"	0.35	0.31	0.94	-0.88
"PCDHGA4"	0.35	0.59	0.39	0.25
"PCNX3"	0.35	0.07	0.01	0.46
"PDSS1P1"	0.35	-0.43	0.57	-0.54
"PHF20"	0.35	0.32	0.22	0.49
"PHYH"	0.35	0.91	0.3	0.26
"PLA2G15"	0.35	0.56	-0.27	1.09
"PLD1"	0.35	-0.33	0.18	0.96
"PLEKHM1"	0.35	-0.01	0.12	0.74
"PLK2"	0.35	0.5	-0.06	0.93
"RBM48"	0.35	0.18	-0.25	0.2
"RNPC3"	0.35	0.46	-0.11	0.41
"RP11-152F13.13"	0.35	0.98	0.37	-0.9
"RP11-180M15.7"	0.35	0.39	0.98	0.54
"RP11-335G20.7"	0.35	-0.81	-0.36	0.35
"RP11-460N20.4"	0.35	0.73	0.33	-0.09
"RP11-687F6.4"	0.35	-0.01	0.55	0.38
"RREB1"	0.35	-0.38	-0.76	0.7
"RUSC1"	0.35	0.2	0.29	0.02
"SEC24C"	0.35	0.17	0.16	0.28
"SERPINA1"	0.35	0.01	0.35	-0.55
"SFN"	0.35	-0.47	-1.15	1.84
"SGPL1"	0.35	0.46	-0.13	0.77
"SRP9P1"	0.35	-0.71	1.09	0
"TMC3"	0.35	0.07	0.08	0.72
"TMEM267"	0.35	-0.05	-0.09	0.66
"TNFRSF12A"	0.35	0.63	0.05	2.8
"TTC21B"	0.35	-0.9	0.12	0.47
"VPS53"	0.35	-0.84	-0.64	1.11
"VRK1"	0.35	2.56	-0.33	0.37
"VWA2"	0.35	-1.34	0.93	0.95
"WBP11"	0.35	0.13	-0.26	0.22
"WDR48"	0.35	-0.21	-0.67	0.58
"ZC3H12A"	0.35	0.93	0.89	0.37
"ZMAT3"	0.35	0.45	0	0.89
"ZNF134"	0.35	0.28	0.3	0.39
"ZNF283"	0.35	-0.5	-0.55	1.12
"ZNF446"	0.35	-0.03	-0.41	0.08
"ZNF549"	0.35	0.29	0.71	-0.13
"AC000041.8"	0.34	-0.18	-0.07	0.39
"ACAP2"	0.34	0.51	-0.73	0.3
"ACTN1"	0.34	0.38	0.49	0.95
"ADAM21"	0.34	0.27	0.2	-0.24
"AP1S3"	0.34	0.75	0.67	0.85
"ASS1"	0.34	0.34	0	0
"ATAT1"	0.34	0	-0.13	0.46
"BANF1P3"	0.34	0.43	0.49	-0.38
"BCS1L"	0.34	0.29	0.22	0.38
"C12orf60"	0.34	0.33	-0.56	-0.07
"C1QBPP2"	0.34	0.12	-0.23	0.07
"CA14"	0.34	-0.6	-0.41	0.04
"CAGE1"	0.34	0.34	-0.81	0.81
"CAPN7"	0.34	0.39	-0.12	-0.01
"CBLB"	0.34	0.14	-1.06	1.58
"CCDC170"	0.34	0.91	0.46	-0.15
"CDC27"	0.34	0.06	-0.07	0.68
"CHADL"	0.34	0.74	0.36	-0.51
"CRK"	0.34	0.23	0.1	0.45
"CTC-493P15.2"	0.34	0.08	0.44	-0.16
"CTD-2522E6.4"	0.34	0.51	0.89	-0.47
"EDRF1"	0.34	0.34	-0.3	0.13
"EIF4G3"	0.34	-0.36	0.33	0.39
"ERVFRD-1"	0.34	-0.23	-0.45	0.28
"EVA1C"	0.34	0.4	0.12	1.25
"FAM90A1"	0.34	-0.09	-0.39	0.39
"FBXL13"	0.34	1.31	-0.28	0.91
"FBXO48"	0.34	-0.03	-0.57	0.31
"FBXO9"	0.34	0.03	-0.23	0.07
"FOXL2NB"	0.34	0.28	-0.4	0.11
"GALNT6"	0.34	0.18	-0.12	0.8
"HDLBP"	0.34	0.12	0.17	0.55
"HILPDA"	0.34	0.33	0.02	0.12
"HLA-DMA"	0.34	-0.06	-0.09	2.21
"HNRNPA1P54"	0.34	0.24	-1.1	0.61
"IBA57"	0.34	0.22	-0.51	0.19
"INTS1"	0.34	-0.4	0.01	0.3
"INTS3"	0.34	-0.03	0.04	-0.02
"IQGAP2"	0.34	1.11	0.41	4.69
"IRF7"	0.34	-0.39	0.32	1.82
"JAKMIP3"	0.34	0.12	-0.61	0.61
"LHX4"	0.34	-0.14	-0.09	0.58
"LIN28B"	0.34	-0.16	-0.48	0.48
"LRRFIP1"	0.34	-0.17	0.53	0.02
"MAGEA2B"	0.34	-0.41	-0.08	0.62
"MBOAT7"	0.34	0.48	0.59	0.87
"MED20"	0.34	0.34	0.07	0.61
"METTL8"	0.34	0.12	0.52	0.08
"MPDZ"	0.34	0.16	-0.43	0.91
"MPV17L2"	0.34	0.34	0.14	0.02
"NRAS"	0.34	0.26	0.14	0.47
"NRBP1"	0.34	0.38	0.31	0.69
"NRG1"	0.34	0.02	-0.52	4.01
"OR52A1"	0.34	-0.65	0.21	0.12
"PCSK5"	0.34	-0.08	-0.91	0.11
"PHKA1"	0.34	-0.09	0.31	-1.03
"POTEH"	0.34	0.03	-0.43	0.37
"POU5F1P5"	0.34	-0.06	-0.14	0.33
"PRDM10"	0.34	-0.5	-0.21	0.31
"PTK6"	0.34	-0.07	0.27	0.12
"PTPRF"	0.34	-0.13	0.1	2.76
"REV1"	0.34	0.11	0.1	0.01
"RNF135"	0.34	0.13	0.49	-0.13
"RP1-34B20.21"	0.34	1.43	-1.53	1.21
"RP11-1084J3.1"	0.34	-0.67	-0.44	0.37
"RP11-339B9.1"	0.34	-0.14	-0.26	0.08
"RP11-371E8.4"	0.34	0.7	-0.58	0.28
"RP11-392E22.9"	0.34	0.59	-0.28	-2.34
"RP11-493E3.1"	0.34	0.42	0.38	-0.36
"RP11-963H1.1"	0.34	0.01	-0.47	0.46
"RP4-728D4.3"	0.34	0.38	-0.2	0.37
"RPL23AP4"	0.34	0.07	-0.28	0.05
"RPSAP26"	0.34	0.16	0.09	0.48
"RPSAP48"	0.34	0.48	-0.04	0.15
"RUBCN"	0.34	0.36	-0.17	0.39
"SCP2"	0.34	0.2	-0.03	0.48
"SEC14L1P1"	0.34	-0.09	-0.09	0.83
"SH3GL3"	0.34	0.53	-0.54	0.59
"SLC16A10"	0.34	0.7	-1.29	-1.56
"SLC26A6"	0.34	0.34	0.3	-0.5
"SLC35E2B"	0.34	-0.08	0.11	0.29
"SLC39A7"	0.34	0.03	0.36	0.56
"SMYD1"	0.34	0.41	0	-0.67
"SRXN1"	0.34	0.67	0.29	0.52
"SZT2"	0.34	0.3	-0.23	0.53
"TBC1D30"	0.34	-0.34	-1.24	0.68
"TMC2"	0.34	-0.02	-0.06	-0.16
"TTC24"	0.34	0.84	-0.73	0.61
"TTN"	0.34	-0.24	0.25	0.87
"UGT1A1"	0.34	-0.29	0.19	0.21
"UQCRHP4"	0.34	0.45	-0.5	-0.38
"URB1"	0.34	0.23	-0.18	0.03
"ZBTB47"	0.34	0.29	-0.94	-0.29
"ZNF331"	0.34	-0.15	0.13	0.04
"ZNF628"	0.34	-0.52	-0.13	-0.06
"ZNF747"	0.34	0.17	-0.03	0.44
"ZNF816"	0.34	0.48	0.49	0.39
"ABCC1"	0.33	0.33	-0.01	-0.06
"AC010886.2"	0.33	0.32	0.28	0.49
"ACSM6"	0.33	-0.01	-0.2	0.2
"ADCK2"	0.33	0.11	-0.07	0.04
"AP000580.1"	0.33	0.31	0.4	-0.27
"AP4E1"	0.33	-0.05	-0.4	0.44
"APAF1"	0.33	0.19	0.88	-0.26
"ARHGAP17"	0.33	0.43	0.27	0.75
"ARMC9"	0.33	0.91	-0.55	2.04
"ATG7"	0.33	0.57	0.38	0.01
"ATP11A"	0.33	-0.12	-0.59	-1.3
"BARD1"	0.33	1.24	-0.24	0.95
"BCL2L1"	0.33	0.51	0.24	-0.36
"C16orf46"	0.33	-0.32	-0.7	0.77
"C1GALT1C1"	0.33	0.48	0.28	0.9
"C4orf46"	0.33	0.36	0.3	0.65
"CAD"	0.33	0.1	0.15	-0.24
"CCDC62"	0.33	-0.25	-0.83	-0.37
"CD33"	0.33	0.35	-0.04	0.36
"CDH18"	0.33	1.15	0.19	0.2
"CHMP7"	0.33	0.16	0.04	0.71
"CLN8"	0.33	0.75	0.23	0.26
"CSRNP2"	0.33	0.01	-0.61	0.7
"CTBS"	0.33	-0.02	0.02	0.67
"CTD-3035D6.1"	0.33	-0.3	-0.93	0.34
"DASS-161H22.6"	0.33	1.55	1.07	-0.56
"DLX1"	0.33	0.4	0.15	1
"DNAAF3"	0.33	0.81	0.48	-0.06
"DNAJC19"	0.33	0.27	-0.14	0.09
"DOK5"	0.33	-0.97	-1.24	2.51
"EEF1A1P25"	0.33	0.31	0	-0.4
"EZH1"	0.33	0.26	-0.42	0.34
"FAM175A"	0.33	-0.29	0.35	-0.19
"FANCD2OS"	0.33	0.08	0.34	0.42
"GDE1"	0.33	0.12	0.08	0.25
"GNA14"	0.33	-0.23	0	-1.12
"GNB1"	0.33	0.47	0.11	0.49
"GNB5"	0.33	0.12	0.3	0.53
"HESX1"	0.33	0.46	-0.09	-0.56
"IARS2P1"	0.33	0.6	-0.36	0.08
"ICAM4"	0.33	0.25	-0.76	0.29
"IFITM10"	0.33	-1.47	1.98	0.88
"INHA"	0.33	0.64	-0.07	0.77
"IRGQ"	0.33	0.45	-0.17	0.12
"KATNB1"	0.33	0.18	0.69	-0.51
"KCNC1"	0.33	0.53	-0.2	-0.01
"KIAA1033"	0.33	0.11	0	0.38
"LASP1"	0.33	0.27	-0.05	0.92
"MAMDC2"	0.33	0.66	-0.17	-1.44
"MORN3"	0.33	-0.29	-0.07	0.34
"MROH1"	0.33	0.69	-0.11	0.47
"MYOM2"	0.33	0.08	0.26	-0.41
"MYSM1"	0.33	-0.62	-0.73	0.71
"NAPSA"	0.33	0.66	0.32	-0.81
"NELFCD"	0.33	-0.03	0.58	-0.48
"PAFAH1B2"	0.33	0.23	-0.23	1.03
"PAPD4"	0.33	-0.17	-0.33	0.67
"PDCD6IPP2"	0.33	-0.23	-0.71	0.19
"PER2"	0.33	0.06	-0.47	0.38
"POLE3"	0.33	0.22	-0.04	0.3
"PRKAR2A"	0.33	0	0.13	0.45
"PRR3"	0.33	0.08	0.37	0.15
"PTER"	0.33	-0.05	0.02	0.84
"RBM43P1"	0.33	-0.29	0	-0.53
"RHBDD2"	0.33	-0.24	0.24	0.51
"RP11-160C18.2"	0.33	0.22	0.21	0.08
"RP11-167N24.3"	0.33	0.73	-1.67	1.27
"RP11-192H23.4"	0.33	-0.06	-0.61	0.7
"RP11-326A19.5"	0.33	0.19	0.43	2.06
"RP11-382A20.3"	0.33	0.02	-0.28	0.15
"RP11-49C9.2"	0.33	0.33	0	0
"RP11-551L14.4"	0.33	-0.62	-0.1	0.94
"RP4-814D15.1"	0.33	0.1	-0.27	0.27
"RPL21P3"	0.33	-0.11	-0.53	0.53
"SAV1"	0.33	0.09	-0.16	0.33
"SERPINH1"	0.33	0.17	0.47	0.8
"SGPP1"	0.33	0.03	-0.09	0.06
"SKIV2L2"	0.33	0.22	0.09	0.23
"SLC38A11"	0.33	-0.55	-0.05	-4.05
"SNX20"	0.33	0.22	0.05	0.83
"SPOP"	0.33	0.11	-0.08	0.61
"SPPL2A"	0.33	0.25	-0.19	0.36
"SPRTN"	0.33	0.18	-0.21	0.72
"SRP72P2"	0.33	-0.25	0.04	0.16
"STON2"	0.33	1.15	0.09	2.37
"SYT3"	0.33	0.13	-0.06	0.54
"TCTEX1D1"	0.33	1.92	0.06	2.27
"TEKT4"	0.33	-0.15	0	0
"TIGD4"	0.33	0.13	-0.81	-0.3
"TLN2"	0.33	1.22	-0.25	2.26
"TMEM131"	0.33	0.31	-0.11	0.49
"TMEM30A"	0.33	0.12	0.04	0.7
"TMEM68"	0.33	-0.1	0	0.4
"TNFRSF11A"	0.33	-0.09	-0.6	-0.37
"TRAPPC2B"	0.33	0.27	0.28	0.23
"TRIM63"	0.33	0.05	-1.16	0.13
"TSPAN33"	0.33	0.04	-0.43	-1.16
"TUBGCP4"	0.33	-0.05	-0.29	0.79
"UBE2L4"	0.33	0.77	0.41	-0.45
"UGT2B27P"	0.33	0.05	0.37	1.02
"WNT7A"	0.33	0.56	0	-0.23
"ZFYVE9"	0.33	0.08	-0.35	-0.09
"ZNF12"	0.33	-0.05	-0.25	0.75
"ZNF124"	0.33	0.23	-0.55	0.63
"ZNF501"	0.33	1.02	0	0.99
"ZNF587"	0.33	-0.27	-0.4	0.31
"ZSCAN9"	0.33	0.15	-0.29	0.45
"AC116366.6"	0.32	0.32	-0.78	0.19
"ACADSB"	0.32	0.41	0.05	-0.34
"ACOT13"	0.32	0.17	0.03	0.58
"AGGF1"	0.32	0.5	0.5	0.15
"AKAP8L"	0.32	0.05	-0.69	0.9
"ALDH1A2"	0.32	-0.05	-0.23	-0.21
"ALDH6A1"	0.32	0.16	-0.05	-0.52
"AMD1P3"	0.32	0.8	-0.19	0.23
"AP3M1"	0.32	0.04	0.04	0.58
"ARNT"	0.32	0.52	0.12	0.49
"ATP6V0D1"	0.32	0.16	0.11	0.41
"BLOC1S2"	0.32	0.49	-0.31	0.23
"C1orf141"	0.32	-0.01	0.52	0.21
"C4orf3"	0.32	0.08	-0.17	0.56
"CAPN2"	0.32	0.27	0.48	0.99
"CCAR1"	0.32	0.27	-0.03	0.81
"CCDC113"	0.32	0.27	0.83	0.4
"CCDC93"	0.32	0.27	0.01	0.13
"CDC34"	0.32	0.68	0.66	-0.06
"CEP89"	0.32	0.21	-0.01	0.32
"CHST11"	0.32	-0.05	-0.71	-0.27
"CHUK"	0.32	0.46	-0.27	0.32
"CTC-281F24.3"	0.32	0.32	-0.03	0.25
"CTC-487M23.8"	0.32	0.02	-0.53	0.36
"CTD-2301A4.1"	0.32	1.24	0	-0.68
"CTD-2547L16.3"	0.32	-0.09	0.02	0.63
"CYB5R3"	0.32	0.85	0.48	0.27
"DEFB105A"	0.32	-0.9	0.15	0.93
"DHX37"	0.32	-0.1	0.13	0.29
"DLX3"	0.32	0.57	-0.71	2.52
"DOK1"	0.32	0.84	0.89	-0.5
"EHD1"	0.32	0.28	0.13	0.93
"EPB41L2"	0.32	0.48	-0.4	1
"ERC2"	0.32	0.05	-0.99	0.63
"EXOC4"	0.32	0	-0.17	0.3
"FDXACB1"	0.32	-0.07	-0.28	0.71
"GGNBP2"	0.32	0.4	0	0.26
"GNPTAB"	0.32	0.22	0.23	-0.72
"GOPC"	0.32	-0.1	0.28	0.11
"GPRC5C"	0.32	0.73	2.25	-0.78
"GRM4"	0.32	-0.15	-0.27	0.37
"HR"	0.32	-0.41	-1.12	0.48
"HRH2"	0.32	0.19	-0.11	0.77
"HUNK"	0.32	-0.47	0.01	0.64
"IDUA"	0.32	0.25	0.59	0.35
"IGF2BP1"	0.32	0.83	0.57	-0.47
"IL7R"	0.32	-0.64	-0.03	2.47
"INCENP"	0.32	0.25	0.38	-0.52
"ITM2B"	0.32	0.63	0.26	0.72
"KRAS"	0.32	0.47	-0.59	0.65
"LYG2"	0.32	0.36	-0.46	0.31
"LYRM7"	0.32	0.29	0.26	-0.02
"MDM2"	0.32	0.46	0.36	0.03
"MFSD1"	0.32	0.38	0.38	0.66
"MFSD12"	0.32	0.32	-0.22	0.95
"MKRN2"	0.32	0.28	0.25	-0.02
"MOB1A"	0.32	0.14	0.09	0.48
"MPC1"	0.32	0.45	-0.02	-0.11
"MT-ND4L"	0.32	-0.22	-0.23	-0.04
"MTPN"	0.32	0.27	0.06	0.18
"MYH11"	0.32	-1.05	-0.43	0.18
"NICN1"	0.32	-0.12	-0.12	-0.53
"NOTCH2NL"	0.32	-0.17	-0.33	1.16
"PAX3"	0.32	-0.08	-0.4	1.26
"PITRM1"	0.32	-0.03	-0.07	0.84
"PLA2G2C"	0.32	0.52	-0.27	0.12
"PMM1"	0.32	0.16	0.21	0.46
"PRKCD"	0.32	0.83	-0.8	-1.9
"PRORSD1P"	0.32	-0.62	0.24	-0.06
"PSMA3"	0.32	0.22	-0.08	0.55
"RAB28P5"	0.32	-0.61	-0.55	0.36
"REEP3"	0.32	0.73	0.18	0.25
"RGP1"	0.32	0.56	0.1	0.03
